order_id,customer_id,restaurant_id,order_datetime,order_value,discount_amount,delivery_fee,commission_pct,operational_cost
1,611,375,2024-03-12 00:42:00,131.73,0.0,30,0.15,9.22
2,1453,376,2024-02-17 05:27:00,185.67,0.0,30,0.18,14.39
3,375,316,2024-03-15 00:53:00,141.46,7.07,40,0.18,22.28
4,73,33,2024-01-01 06:07:00,103.19,5.16,20,0.18,21.01
5,1973,115,2024-01-10 07:37:00,456.9,0.0,50,0.2,22.59
6,1658,384,2024-02-06 08:08:00,1021.6,153.24,40,0.15,35.01
7,1054,3,2024-02-17 20:30:00,565.57,28.28,30,0.18,21.59
8,1212,486,2024-01-05 16:53:00,235.91,23.59,20,0.18,12.88
9,1388,4,2024-01-10 20:45:00,167.96,0.0,50,0.18,12.53
10,1890,356,2024-03-11 21:56:00,749.23,0.0,40,0.2,21.17
11,1824,260,2024-02-08 12:03:00,324.77,16.24,40,0.18,18.17
12,1475,42,2024-03-02 01:05:00,473.68,0.0,40,0.18,15.75
13,195,9,2024-02-28 09:57:00,352.33,0.0,50,0.2,17.63
14,1180,488,2024-02-07 13:03:00,664.43,0.0,50,0.15,31.05
15,1196,307,2024-03-30 18:39:00,545.23,0.0,30,0.2,21.77
16,847,145,2024-03-27 19:29:00,97.71,0.0,50,0.2,13.49
17,1065,401,2024-02-02 17:19:00,673.95,67.4,50,0.18,26.38
18,1087,97,2024-01-24 09:08:00,1048.55,52.43,30,0.15,30.69
19,23,276,2024-02-27 00:32:00,802.64,40.13,50,0.2,22.29
20,360,142,2024-01-02 22:10:00,341.51,34.15,50,0.15,23.25
21,1099,278,2024-02-13 10:17:00,262.89,0.0,50,0.2,13.87
22,560,436,2024-01-31 18:28:00,865.08,0.0,50,0.18,24.48
23,672,27,2024-01-27 08:28:00,769.46,0.0,30,0.18,21.7
24,1849,43,2024-03-19 21:32:00,464.44,0.0,20,0.2,24.49
25,1142,131,2024-02-04 19:02:00,448.46,22.42,40,0.15,14.23
26,1636,216,2024-03-13 21:43:00,369.9,18.5,40,0.2,21.3
27,1404,94,2024-01-03 12:06:00,88.64,0.0,40,0.15,12.0
28,1953,8,2024-02-25 16:54:00,420.72,42.07,50,0.18,21.02
29,1944,86,2024-03-30 20:58:00,535.99,0.0,30,0.15,29.33
30,679,345,2024-03-24 03:26:00,413.51,20.68,40,0.18,13.28
31,1314,138,2024-01-23 22:25:00,19.51,0.98,20,0.18,14.92
32,440,369,2024-02-04 23:33:00,560.35,28.02,50,0.2,29.61
33,1692,413,2024-01-10 23:48:00,588.69,0.0,20,0.18,20.44
34,933,424,2024-02-27 08:10:00,183.11,0.0,20,0.15,10.41
35,7,246,2024-03-16 13:34:00,173.3,0.0,40,0.18,14.31
36,1220,449,2024-01-22 11:20:00,130.98,0.0,20,0.2,21.89
37,421,500,2024-03-29 10:51:00,423.55,42.36,40,0.18,22.22
38,1592,21,2024-01-25 10:33:00,287.96,0.0,50,0.15,24.96
39,833,487,2024-03-30 12:10:00,291.99,0.0,20,0.15,14.89
40,1217,408,2024-01-11 10:11:00,295.83,44.37,50,0.15,21.74
41,559,457,2024-03-08 23:23:00,318.9,0.0,40,0.15,15.51
42,1172,444,2024-01-22 16:54:00,368.08,18.4,20,0.18,20.1
43,1811,492,2024-02-10 11:06:00,218.22,21.82,20,0.2,22.93
44,1693,410,2024-03-22 20:07:00,151.2,7.56,20,0.15,9.35
45,1226,265,2024-03-09 13:01:00,457.91,68.69,40,0.2,18.6
46,1468,148,2024-03-24 07:49:00,634.96,0.0,20,0.2,23.02
47,914,184,2024-01-08 17:06:00,448.9,0.0,50,0.2,14.85
48,1443,227,2024-01-16 03:06:00,1157.6,0.0,30,0.18,31.71
49,1451,292,2024-02-09 11:32:00,105.82,0.0,20,0.18,8.06
50,1007,490,2024-01-12 18:24:00,364.08,0.0,50,0.15,16.7
51,1503,36,2024-02-21 07:57:00,558.65,83.8,50,0.15,16.59
52,1499,246,2024-01-29 14:04:00,235.83,0.0,20,0.2,10.3
53,126,73,2024-02-23 07:03:00,739.69,0.0,20,0.2,23.32
54,395,150,2024-01-20 22:35:00,435.85,43.59,20,0.18,19.4
55,817,1,2024-02-07 16:11:00,516.3,25.82,20,0.18,21.3
56,881,69,2024-02-17 20:27:00,499.48,49.95,20,0.15,20.25
57,1830,457,2024-02-14 19:06:00,404.38,60.66,40,0.18,20.79
58,576,293,2024-03-08 06:55:00,225.56,22.56,40,0.18,23.21
59,325,230,2024-01-25 20:49:00,925.82,46.29,30,0.15,30.39
60,1416,211,2024-01-05 18:04:00,290.75,0.0,50,0.2,12.31
61,930,72,2024-03-16 03:21:00,602.4,0.0,50,0.2,27.27
62,1712,490,2024-03-01 15:18:00,395.68,39.57,50,0.2,27.25
63,1652,363,2024-02-04 15:04:00,238.59,0.0,30,0.18,12.7
64,1464,96,2024-03-11 16:00:00,237.16,35.57,40,0.2,12.65
65,1228,397,2024-02-23 01:32:00,267.79,26.78,30,0.15,14.13
66,1510,84,2024-03-02 17:07:00,645.21,0.0,20,0.15,18.64
67,833,228,2024-01-26 19:34:00,252.66,25.27,40,0.2,22.14
68,1055,299,2024-02-01 21:33:00,159.6,0.0,20,0.15,13.91
69,1412,236,2024-03-17 10:55:00,72.11,3.61,30,0.2,18.06
70,1649,293,2024-01-10 03:04:00,710.56,0.0,50,0.18,28.6
71,1901,222,2024-03-27 22:41:00,1038.31,155.75,20,0.18,27.45
72,1458,458,2024-01-06 07:29:00,356.22,0.0,30,0.2,20.31
73,837,223,2024-01-26 10:45:00,507.0,0.0,40,0.2,25.88
74,926,281,2024-02-06 13:54:00,214.15,21.42,20,0.18,10.01
75,1400,221,2024-03-13 04:35:00,365.49,18.27,40,0.15,18.63
76,1368,216,2024-01-09 21:38:00,140.06,0.0,30,0.18,19.95
77,443,231,2024-01-26 14:40:00,354.04,0.0,20,0.18,26.82
78,1603,405,2024-02-11 17:49:00,1560.51,78.03,30,0.15,46.68
79,75,169,2024-03-08 13:49:00,65.35,0.0,20,0.15,10.95
80,557,329,2024-01-26 22:13:00,237.3,23.73,20,0.18,13.96
81,1796,426,2024-02-07 12:58:00,503.22,50.32,30,0.15,23.86
82,1690,42,2024-02-07 21:35:00,824.49,82.45,40,0.18,35.49
83,1179,258,2024-01-18 10:50:00,829.64,0.0,50,0.15,25.01
84,1454,196,2024-01-19 13:16:00,404.5,0.0,20,0.15,16.55
85,363,392,2024-03-12 17:21:00,331.55,0.0,40,0.18,19.32
86,448,96,2024-01-22 17:37:00,193.12,0.0,40,0.18,17.5
87,1258,317,2024-01-14 05:42:00,434.04,0.0,40,0.15,27.73
88,1587,14,2024-01-21 11:32:00,722.89,36.14,40,0.18,24.3
89,1842,113,2024-03-15 08:39:00,626.69,62.67,20,0.2,23.95
90,262,77,2024-03-01 07:41:00,79.17,0.0,50,0.18,11.94
91,1851,277,2024-02-09 05:21:00,139.47,0.0,50,0.15,18.79
92,125,408,2024-02-22 14:04:00,309.2,0.0,40,0.18,16.52
93,911,434,2024-02-16 02:17:00,133.42,0.0,20,0.2,14.2
94,245,466,2024-01-08 08:07:00,448.21,67.23,50,0.15,19.43
95,542,429,2024-01-26 13:26:00,59.95,0.0,40,0.2,6.62
96,1962,448,2024-03-10 12:28:00,118.37,0.0,40,0.15,15.5
97,485,320,2024-02-21 16:57:00,628.37,0.0,30,0.18,23.48
98,122,488,2024-02-18 12:45:00,569.79,0.0,30,0.2,18.34
99,125,410,2024-02-22 05:11:00,73.72,3.69,30,0.15,15.48
100,1573,160,2024-02-03 02:34:00,645.03,64.5,20,0.15,28.24
101,170,492,2024-02-25 20:15:00,187.96,0.0,40,0.18,16.44
102,124,313,2024-02-18 22:42:00,929.85,92.99,50,0.2,27.32
103,1893,119,2024-01-30 22:47:00,609.73,30.49,50,0.18,25.2
104,1059,437,2024-01-17 07:42:00,267.13,0.0,30,0.18,14.51
105,1111,161,2024-03-06 23:49:00,448.84,22.44,40,0.18,16.23
106,646,308,2024-02-20 03:13:00,303.77,0.0,20,0.15,12.52
107,1732,351,2024-03-20 08:53:00,629.36,0.0,20,0.2,20.12
